new_word,freq,ratio,category,week,date1,date2
현지시간,49,0.004788897576231431,사회,1주차,20220102,20220108
사법연수원,38,0.003713838936669273,사회,1주차,20220102,20220108
이대목동병원,40,0.003909304143862392,사회,1주차,20220102,20220108
출입명부,56,0.00547302580140735,사회,1주차,20220102,20220108
사회관계망서비스,56,0.00547302580140735,사회,1주차,20220102,20220108
프로농구,103,0.010066458170445661,사회,1주차,20220102,20220108
복지센터,89,0.008698201720093824,사회,1주차,20220102,20220108
공동모금회,61,0.005961688819390148,사회,1주차,20220102,20220108
감리회사,29,0.0028342455043002344,사회,1주차,20220102,20220108
혐의,1176,0.11493354182955434,사회,1주차,20220102,20220108
기소,468,0.045738858483189995,사회,1주차,20220102,20220108
처분,537,0.05248240813135262,사회,1주차,20220102,20220108
헌법,190,0.018569194683346363,사회,1주차,20220102,20220108
헌법재판소,111,0.01084831899921814,사회,1주차,20220102,20220108
검찰,532,0.05199374511336982,사회,1주차,20220102,20220108
취소,272,0.026583268178264268,사회,1주차,20220102,20220108
청구,276,0.02697419859265051,사회,1주차,20220102,20220108
헌법소원,54,0.00527756059421423,사회,1주차,20220102,20220108
사건,951,0.09294370602032838,사회,1주차,20220102,20220108
전원,151,0.014757623143080531,사회,1주차,20220102,20220108
의견,540,0.0527756059421423,사회,1주차,20220102,20220108
과거,241,0.023553557466770916,사회,1주차,20220102,20220108
오랜,82,0.008014073494917905,사회,1주차,20220102,20220108
시간,1037,0.10134870992963252,사회,1주차,20220102,20220108
인기,123,0.012021110242376856,사회,1주차,20220102,20220108
취지,350,0.034206411258795935,사회,1주차,20220102,20220108
처벌,465,0.045445660672400315,사회,1주차,20220102,20220108
범죄,616,0.060203283815480846,사회,1주차,20220102,20220108
해당,1225,0.11972243940578577,사회,1주차,20220102,20220108
정황,224,0.0218921032056294,사회,1주차,20220102,20220108
법원,830,0.08111806098514464,사회,1주차,20220102,20220108
유무,27,0.002638780297107115,사회,1주차,20220102,20220108
이유,910,0.08893666927286943,사회,1주차,20220102,20220108
위법,124,0.012118842845973418,사회,1주차,20220102,20220108
조각,29,0.0028342455043002344,사회,1주차,20220102,20220108
사유,203,0.019839718530101642,사회,1주차,20220102,20220108
형식,66,0.006450351837372948,사회,1주차,20220102,20220108
불법,198,0.019351055512118843,사회,1주차,20220102,20220108
행위,379,0.03704065676309617,사회,1주차,20220102,20220108
실질,245,0.023944487881157155,사회,1주차,20220102,20220108
규정,327,0.031958561376075056,사회,1주차,20220102,20220108
상황,1421,0.1388780297107115,사회,1주차,20220102,20220108
전력,160,0.01563721657544957,사회,1주차,20220102,20220108
며칠,65,0.0063526192337763875,사회,1주차,20220102,20220108
시도,283,0.02765832681782643,사회,1주차,20220102,20220108
반응,264,0.02580140734949179,사회,1주차,20220102,20220108
여지,78,0.007623143080531665,사회,1주차,20220102,20220108
종합,497,0.04857310398749023,사회,1주차,20220102,20220108
법리,50,0.0048866301798279905,사회,1주차,20220102,20220108
올해,1249,0.12206802189210321,사회,1주차,20220102,20220108
관내,125,0.012216575449569977,사회,1주차,20220102,20220108
특수,246,0.024042220484753712,사회,1주차,20220102,20220108
설치,585,0.05717357310398749,사회,1주차,20220102,20220108
일부,935,0.09137998436278343,사회,1주차,20220102,20220108
절차,485,0.047400312744331506,사회,1주차,20220102,20220108
문제,946,0.09245504300234558,사회,1주차,20220102,20220108
강동구,29,0.0028342455043002344,사회,1주차,20220102,20220108
지난달,1357,0.13262314308053166,사회,1주차,20220102,20220108
홈페이지,238,0.023260359655981236,사회,1주차,20220102,20220108
게시,231,0.022576231430805317,사회,1주차,20220102,20220108
교육,1183,0.11561767005473025,사회,1주차,20220102,20220108
장애,314,0.03068803752931978,사회,1주차,20220102,20220108
시행,877,0.08571149335418296,사회,1주차,20220102,20220108
시행령,48,0.004691164972634871,사회,1주차,20220102,20220108
대상,1548,0.15129007036747458,사회,1주차,20220102,20220108
대상자,268,0.02619233776387803,사회,1주차,20220102,20220108
위탁,94,0.009186864738076622,사회,1주차,20220102,20220108
여건,153,0.014953088350273652,사회,1주차,20220102,20220108
학교,1002,0.09792806880375293,사회,1주차,20220102,20220108
의무,365,0.03567240031274433,사회,1주차,20220102,20220108
소속,510,0.04984362783424551,사회,1주차,20220102,20220108
시설,1312,0.12822517591868648,사회,1주차,20220102,20220108
공유,214,0.0209147771696638,사회,1주차,20220102,20220108
교내,35,0.0034206411258795935,사회,1주차,20220102,20220108
전반,241,0.023553557466770916,사회,1주차,20220102,20220108
엘리베이터,37,0.003616106333072713,사회,1주차,20220102,20220108
학생,771,0.07535183737294762,사회,1주차,20220102,20220108
통화,253,0.02472634870992963,사회,1주차,20220102,20220108
관련,1876,0.1833463643471462,사회,1주차,20220102,20220108
이후,1454,0.14210320562939796,사회,1주차,20220102,20220108
저희,97,0.009480062548866302,사회,1주차,20220102,20220108
때문,1062,0.10379202501954653,사회,1주차,20220102,20220108
법률,336,0.0328381548084441,사회,1주차,20220102,20220108
미비,52,0.0050820953870211105,사회,1주차,20220102,20220108
경우,1397,0.13653244722439406,사회,1주차,20220102,20220108
배정,58,0.005668491008600469,사회,1주차,20220102,20220108
불편,277,0.027071931196247068,사회,1주차,20220102,20220108
고교,137,0.013389366692728694,사회,1주차,20220102,20220108
전국,982,0.09597341673182173,사회,1주차,20220102,20220108
유치원,137,0.013389366692728694,사회,1주차,20220102,20220108
중학교,172,0.016810007818608287,사회,1주차,20220102,20220108
고등학교,177,0.017298670836591087,사회,1주차,20220102,20220108
전체,727,0.07105160281469898,사회,1주차,20220102,20220108
대부,394,0.03850664581704456,사회,1주차,20220102,20220108
대부분,360,0.035183737294761534,사회,1주차,20220102,20220108
이상,1560,0.1524628616106333,사회,1주차,20220102,20220108
절대,78,0.007623143080531665,사회,1주차,20220102,20220108
분쟁,59,0.005766223612197029,사회,1주차,20220102,20220108
가슴,136,0.013291634089132134,사회,1주차,20220102,20220108
영아,36,0.003518373729476153,사회,1주차,20220102,20220108
가정,337,0.032935887412040656,사회,1주차,20220102,20220108
모두,1182,0.1155199374511337,사회,1주차,20220102,20220108
예산,433,0.0423182173573104,사회,1주차,20220102,20220108
아동,262,0.025605942142298672,사회,1주차,20220102,20220108
국가,779,0.0761336982017201,사회,1주차,20220102,20220108
사회,1530,0.14953088350273652,사회,1주차,20220102,20220108
출산,126,0.012314308053166537,사회,1주차,20220102,20220108
초기,157,0.01534401876465989,사회,1주차,20220102,20220108
양육,76,0.007427677873338546,사회,1주차,20220102,20220108
사업,1628,0.15910867865519937,사회,1주차,20220102,20220108
기존,662,0.06469898358092259,사회,1주차,20220102,20220108
통합,259,0.025312744331508992,사회,1주차,20220102,20220108
소득,269,0.02629007036747459,사회,1주차,20220102,20220108
상관,86,0.008405003909304144,사회,1주차,20220102,20220108
단계,378,0.03694292415949961,사회,1주차,20220102,20220108
확대,808,0.07896794370602032,사회,1주차,20220102,20220108
계획,1344,0.1313526192337764,사회,1주차,20220102,20220108
아이,548,0.053557466770914774,사회,1주차,20220102,20220108
서비스,573,0.056000781860828776,사회,1주차,20220102,20220108
어린이,498,0.048670836591086786,사회,1주차,20220102,20220108
